Dataglove Experiment Tue Sep 25 17:00:17 2018
USB0 DG5U_Right RightHand	1

event	var	l_thumb	l_index	l_middle	l_ring	l_little	r_thumb	r_index	r_middle	r_ring	r_little	time
glove	1	0	0	0	0	0	3676	3914	4065	3722	3659	396880
glove	1	0	0	0	0	0	3676	3915	4065	3722	3659	396900
glove	1	0	0	0	0	0	3676	3914	4065	3722	3659	396920
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	396940
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	396960
glove	1	0	0	0	0	0	3676	3915	4065	3722	3659	396980
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397000
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	397020
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397040
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397060
glove	1	0	0	0	0	0	3676	3914	4065	3722	3659	397080
glove	1	0	0	0	0	0	3677	3914	4065	3722	3660	397100
glove	1	0	0	0	0	0	3676	3914	4065	3722	3659	397120
glove	1	0	0	0	0	0	3676	3915	4065	3722	3659	397140
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397160
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397180
glove	1	0	0	0	0	0	3676	3914	4065	3722	3659	397200
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397220
glove	1	0	0	0	0	0	3676	3915	4065	3722	3659	397240
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	397260
glove	1	0	0	0	0	0	3676	3914	4065	3722	3659	397280
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397300
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397320
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	397340
glove	1	0	0	0	0	0	3677	3915	4065	3722	3660	397360
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	397380
glove	1	0	0	0	0	0	3676	3914	4065	3722	3659	397400
glove	1	0	0	0	0	0	3677	3914	4065	3722	3659	397420
glove	1	0	0	0	0	0	3676	3915	4065	3722	3659	397440
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397460
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397480
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397500
glove	1	0	0	0	0	0	3677	3914	4065	3722	3660	397520
glove	1	0	0	0	0	0	3676	3914	4065	3722	3659	397540
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397560
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	397580
glove	1	0	0	0	0	0	3677	3914	4065	3722	3660	397600
glove	1	0	0	0	0	0	3677	3914	4065	3722	3660	397620
glove	1	0	0	0	0	0	3677	3914	4065	3722	3660	397640
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397660
glove	1	0	0	0	0	0	3677	3914	4065	3722	3660	397680
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397700
glove	1	0	0	0	0	0	3677	3914	4065	3722	3660	397720
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397740
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	397760
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397780
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	397800
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	397820
glove	1	0	0	0	0	0	3677	3914	4065	3722	3660	397840
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	397860
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	397880
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	397900
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	397920
glove	1	0	0	0	0	0	3677	3914	4065	3722	3660	397940
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	397960
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	397980
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398000
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398020
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398040
glove	1	0	0	0	0	0	3676	3914	4065	3723	3660	398060
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398080
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398100
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398120
glove	1	0	0	0	0	0	3677	3914	4065	3722	3660	398140
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398160
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398180
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398200
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398220
glove	1	0	0	0	0	0	3676	3915	4065	3722	3659	398240
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398260
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398280
glove	1	0	0	0	0	0	3676	3914	4065	3722	3660	398300
glove	1	0	0	0	0	0	3676	3915	4065	3722	3660	398320
